Country Name	type	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Australia	exports	2050000000	2363000000	2356000000	2805000000	3053000000	3005000000	3171000000	3478000000	3526000000	4220000000	4770000000	5213000000	6461000000	9559000000	11016000000	11948000000	13193000000	13367000000	14416000000	18663000000	21944000000	21477000000	21360000000	20113000000	23111000000	22604000000	22569000000	26621000000	33233000000	37125000000	39752000000	41854000000	42824000000	42723000000	47528000000	53111000000	60301000000	62910000000	55893000000	56080000000	63870000000	63387000000	65033000000	70377000000	86565000000	1.06097E+11	1.23437E+11	1.41358E+11	1.87257E+11	1.54331E+11	2.12634E+11	2.71733E+11	2.56675E+11	2.52981E+11	2.39975E+11	1.87742E+11	1.92489E+11	2.31072E+11	2.5688E+11
Austria	exports	1120000000	1202000000	1264000000	1326000000	1446000000	1600000000	1684000000	1809000000	1989000000	2412000000	2857000000	3168000000	3883000000	5283000000	7161000000	7519000000	8506000000	9808000000	12175000000	15481000000	17489000000	15841000000	15642000000	15427000000	15739000000	17239000000	22508000000	27168000000	31027000000	31906000000	41265000000	41111000000	44537000000	40685000000	45002000000	57738000000	58222000000	59784000000	64085000000	66061000000	67710000000	70751000000	78673000000	97146000000	1.18376E+11	1.25182E+11	1.36751E+11	1.6362E+11	1.81289E+11	1.36989E+11	1.5256E+11	1.77428E+11	1.66611E+11	1.75156E+11	1.78223E+11	1.52728E+11	1.5209E+11	1.68026E+11	1.84722E+11
Azerbaijan	exports																																	1571000000	993000000	655000000	635000000	630000000	780000000	605000000	929000000	1745000000	2314000000	2167000000	2592000000	3615000000	7649000000	13015000000	21269000000	30586000000	21097000000	26476000000	34495000000	32634000000	31703000000	28260000000	16592000000	13108000000	15476000000	21500000000
Burundi	exports	7000000	8000000	9000000	9000000	9000000	9000000	10000000	14000000	15000000	12000000	24000000	19000000	26000000	30000000	31000000	32000000	61000000	90000000	69000000	104000000	65000000	75000000	88000000	80000000	103000000	112000000	154000000	91000000	133000000	78000000	75000000	90000000	72000000	68000000	120000000	105000000	39000000	86000000	65000000	54000000	50000000	39000000	30000000	38000000	47000000	58000000	58000000	59000000	57000000	67000000	101000000	123000000	134000000	94000000	132000000	121000000	125000000	172000000	161000000
Belgium	exports																																								1.79152E+11	1.88371E+11	1.90349E+11	2.16127E+11	2.55617E+11	3.06866E+11	3.344E+11	3.66745E+11	4.30952E+11	4.7184E+11	3.70125E+11	4.07692E+11	4.75672E+11	4.45939E+11	4.6876E+11	4.72192E+11	3.96841E+11	3.98218E+11	4.30554E+11	4.66724E+11
Benin	exports	18000000	15000000	11000000	13000000	13000000	14000000	10000000	15000000	22000000	27000000	33000000	42000000	36000000	43000000	34000000	32000000	25000000	31000000	27000000	46000000	63000000	34000000	24000000	67000000	167000000	199000000	188000000	260000000	226000000	218000000	288000000	330000000	335000000	384000000	398000000	420000000	528000000	424000000	407000000	422000000	392000000	374000000	448000000	541000000	569000000	578000000	736000000	1047000000	1282000000	1225000000	1282000000	1410000000	1443000000	1982000000	2560000000	1682000000	1774000000	1980000000	2249000000
Burkina Faso	exports	4000000	4000000	8000000	9000000	12000000	15000000	16000000	18000000	21000000	21000000	18000000	16000000	20000000	25000000	36000000	44000000	53000000	55000000	43000000	77000000	90000000	74000000	56000000	58000000	79000000	71000000	83000000	155000000	142000000	95000000	152000000	106000000	64000000	69000000	107000000	276000000	233000000	232000000	319000000	255000000	209000000	223000000	247000000	321000000	479000000	468000000	588000000	623000000	693000000	900000000	1591000000	2399000000	2182000000	2356000000	2453000000	2176000000	2509000000	2875000000	3231000000
Bangladesh	exports													260000000	358000000	348000000	327000000	401000000	476000000	548000000	659000000	759000000	791000000	769000000	724000000	931000000	999000000	880000000	1067000000	1291000000	1305000000	1671000000	1689000000	2098000000	2545000000	2934000000	3501000000	4249000000	4832000000	5121000000	5497000000	6389000000	6080000000	6149000000	6990000000	8305000000	9297000000	11802000000	12453000000	15370000000	15083000000	19194000000	24439000000	25127000000	29114000000	30405000000	32379000000	34894000000	35851000000	39252000000
Bulgaria	exports	572000000	663000000	773000000	834000000	980000000	1176000000	1305000000	1458000000	1615000000	1795000000	2004000000	2182000000	2627000000	3301000000	3836000000	4691000000	5382000000	6329000000	7478000000	8869000000	10390000000	10700000000	11440000000	12140000000	12860000000	13310000000	14140000000	15850000000	17290000000	16220000000	5030000000	3760000000	3550000000	3580000000	4005000000	5355000000	4890000000	4940000000	4300000000	3979000000	4852000000	5118000000	5733000000	7543000000	9932000000	11739000000	15064000000	18518000000	22362000000	16318000000	20630000000	28208000000	26686000000	29579000000	29246000000	25371000000	26572000000	31437000000	33151000000
Bahrain	exports	190000000	198000000	212000000	206000000	176000000	165000000	187000000	211000000	211000000	226000000	218000000	269000000	347000000	481000000	1272000000	1107000000	1516000000	1845000000	1893000000	2492000000	3606000000	4347000000	3789000000	3119000000	3204000000	2897000000	2199000000	2430000000	2411000000	2831000000	3761000000	3511000000	3464000000	3723000000	3622000000	4113000000	4700000000	4384000000	3270000000	4363000000	6194000000	5577000000	5794000000	6632000000	7558000000	10242000000	12200000000	13634000000	17316000000	11874000000	14971000000	19650000000	19768000000	21930000000	20130000000	16540000000	12785000000	15376000000	19875000000
Bahamas, The	exports	6000000	8000000	9000000	10000000	16000000	19000000	23000000	31000000	51000000	53000000	90000000	267000000	343000000	530000000	1444000000	2508000000	2992000000	3261000000	3058000000	3786000000	5009000000	6189000000	4534000000	3970000000	3393000000	2728000000	2702000000	2722000000	2153000000	2487000000	238000000	225000000	192000000	162000000	167000000	176000000	180000000	181000000	300000000	462000000	576000000	423000000	446000000	425000000	477000000	549000000	694000000	802000000	956000000	711000000	702000000	834000000	984000000	955000000	834000000	521000000	481000000	571000000	630000000
Bosnia and Herzegovina	exports																																	276000000	95000000	91000000	152000000	336000000	575000000	605000000	751000000	1069000000	1032000000	1005000000	1340000000	1793000000	2400000000	3323000000	4152000000	5021000000	3954000000	4803000000	5850000000	5162000000	5687000000	5891000000	5096000000	5327000000	6370000000	7500000000
Belarus	exports																																	3559000000	1970000000	2510000000	4803000000	5652000000	7301000000	7070000000	5909000000	7326000000	7451000000	8021000000	9946000000	13774000000	15979000000	19734000000	24275000000	32571000000	21304000000	25284000000	41419000000	46060000000	37203000000	36127000000	26660000000	23537000000	29240000000	33716000000
Belize	exports	8000000	9000000	9000000	13000000	13000000	12000000	13000000	14000000	15000000	17000000	19000000	19000000	26000000	32000000	45000000	67000000	42000000	62000000	80000000	87000000	111000000	119000000	91000000	78000000	93000000	90000000	93000000	103000000	116000000	125000000	129000000	120000000	141000000	123000000	151000000	162000000	168000000	176000000	172000000	198000000	196000000	169000000	275000000	303000000	305000000	319000000	419000000	416000000	469000000	381000000	478000000	604000000	627000000	609000000	589000000	538000000	443000000	457000000	415000000
Bermuda	exports																					37000000	29000000	17000000	23000000	41000000	23000000	65000000	29000000	31000000	50000000	60000000	55000000	85000000	35000000	32000000	56000000	68000000	57000000	45000000	51000000	51000000	36000000	56000000	52000000	73000000	49000000	27000000	27000000	24000000	29000000	15000000	13000000	11000000	12000000	22000000	22000000	19000000	18000000	18000000
Bolivia	exports	51000000	58000000	60000000	67000000	96000000	129000000	127000000	150000000	152000000	172000000	190000000	181000000	201000000	261000000	557000000	444000000	568000000	632000000	629000000	760000000	942000000	912000000	828000000	755000000	725000000	623000000	638000000	570000000	600000000	822000000	926000000	849000000	710000000	728000000	1032000000	1101000000	1137000000	1167000000	1104000000	1051000000	1230000000	1285000000	1299000000	1597000000	2166000000	2827000000	3952000000	4504000000	6525000000	4960000000	6402000000	8358000000	11254000000	11657000000	12300000000	8726000000	7082000000	7846000000	8965000000
Brazil	exports	1268000000	1403000000	1214000000	1406000000	1430000000	1596000000	1741000000	1654000000	1881000000	2311000000	2739000000	2904000000	3991000000	6199000000	7951000000	8670000000	10128000000	12120000000	12659000000	15244000000	20132000000	23293000000	20175000000	21899000000	27005000000	25639000000	22349000000	26224000000	33494000000	34383000000	31414000000	31620000000	35793000000	38555000000	43545000000	46506000000	47747000000	52994000000	51140000000	48013000000	55119000000	58287000000	60439000000	73203000000	96678000000	1.18529E+11	1.37807E+11	1.60649E+11	1.97942E+11	1.52995E+11	2.01915E+11	2.5604E+11	2.42578E+11	2.42034E+11	2.25101E+11	1.91134E+11	1.85185E+11	2.17826E+11	2.39681E+11
Barbados	exports	24000000	25000000	29000000	41000000	35000000	37000000	41000000	41000000	40000000	37000000	40000000	41000000	44000000	54000000	86000000	107000000	86000000	97000000	131000000	152000000	226000000	195000000	257000000	321000000	390000000	352000000	275000000	154000000	173000000	186000000	216000000	207000000	191000000	187000000	182000000	239000000	281000000	283000000	252000000	264000000	272000000	259000000	242000000	250000000	278000000	359000000	510000000	524000000	488000000	379000000	429000000	475000000	565000000	457000000	474000000	483000000	517000000	485000000	445000000
Brunei Darussalam	exports	83000000	77000000	65000000	60000000	61000000	65000000	74000000	81000000	92000000	88000000	95000000	212000000	176000000	347000000	980000000	1049000000	1333000000	1640000000	1845000000	2666000000	4581000000	4037000000	3808000000	3369000000	3204000000	2972000000	1797000000	1902000000	1708000000	1883000000	2213000000	2682000000	2401000000	2167000000	2210000000	2402000000	2481000000	2467000000	2058000000	2579000000	3903000000	3640000000	3702000000	4421000000	5057000000	6249000000	7636000000	7668000000	10319000000	7200000000	8907000000	12465000000	13001000000	11447000000	10509000000	6353000000	4875000000	5571000000	5430000000
Bhutan	exports																					17000000	20000000	17000000	16000000	18000000	22000000	34000000	55000000	75000000	70000000	70000000	63000000	66000000	65000000	66000000	103000000	100000000	118000000	108000000	116000000	103000000	106000000	113000000	133000000	183000000	258000000	414000000	675000000	521000000	496000000	641000000	675000000	535000000	544000000	583000000	549000000	525000000	573000000	620000000
Botswana	exports	8000000	9000000	9000000	11000000	12000000	14000000	15000000	13000000	10000000	18000000	26000000	42000000	58000000	85000000	121000000	142000000	170000000	186000000	233000000	451000000	502000000	397000000	454000000	635000000	660000000	728000000	862000000	1587000000	1465000000	1857000000	1784000000	1849000000	1742000000	1780000000	1878000000	2142000000	2447000000	2842000000	2058000000	2644000000	2675000000	2510000000	2425000000	2810000000	3513000000	4425000000	4529000000	5174000000	4951000000	3456000000	4693000000	5882000000	5971000000	7911000000	8510000000	6323000000	7362000000	5911000000	5959000000
Central African Republic	exports	14000000	14000000	14000000	22000000	29000000	26000000	31000000	29000000	36000000	36000000	30000000	32000000	39000000	37000000	48000000	47000000	61000000	82000000	72000000	80000000	116000000	79000000	107000000	80000000	86000000	92000000	66000000	130000000	130000000	134000000	120000000	126000000	107000000	110000000	151000000	171000000	147000000	163000000	151000000	146000000	161000000	142000000	147000000	128000000	134000000	128000000	158000000	178000000	150000000	120000000	140000000	190000000	203000000	116000000	99000000	86000000	115000000	140000000	178000000
Canada	exports	5818000000	6085000000	6213000000	6777000000	8037000000	8473000000	10005000000	11000000000	13171000000	14350000000	16787000000	18374000000	21185000000	26437000000	34508000000	34074000000	40598000000	43545000000	48432000000	58294000000	67734000000	72726000000	71234000000	76749000000	90272000000	90950000000	90329000000	98168000000	1.17105E+11	1.21832E+11	1.27629E+11	1.27163E+11	1.34435E+11	1.45178E+11	1.65376E+11	1.92197E+11	2.01633E+11	2.14422E+11	2.14327E+11	2.38446E+11	2.76635E+11	2.59858E+11	2.52394E+11	2.72739E+11	3.16762E+11	3.60475E+11	3.88178E+11	4.20693E+11	4.56471E+11	3.16094E+11	3.87481E+11	4.51335E+11	4.55592E+11	4.58318E+11	4.763E+11	4.09965E+11	3.90048E+11	4.20829E+11	4.49845E+11
Central Europe and the Baltics	exports																																	68782570830	65266000000	76138000000	97623000000	1.03946E+11	1.11037E+11	1.22745E+11	1.22262E+11	1.38839E+11	1.53397E+11	1.75525E+11	2.2723E+11	3.04462E+11	3.54526E+11	4.33928E+11	5.5447E+11	6.63288E+11	5.15217E+11	6.05939E+11	7.40929E+11	7.15468E+11	7.65988E+11	8.038E+11	7.11933E+11	7.33167E+11	8.29946E+11	9.23345E+11
Switzerland	exports	1859000000	2017000000	2191000000	2388000000	2621000000	2941000000	3248000000	3468000000	3967000000	4576000000	5063000000	5738000000	6842000000	9528000000	11934000000	12953000000	14835000000	17614000000	23560000000	26538000000	29632000000	27031000000	26018000000	25592000000	25851000000	27433000000	37455000000	45515000000	50704000000	51525000000	63784000000	61517000000	65678000000	63185000000	70360000000	81641000000	79747000000	76150000000	78856000000	80300000000	80500000000	82144000000	91699000000	1.04822E+11	1.22844E+11	1.3093E+11	1.47856E+11	1.72078E+11	2.00759E+11	1.72474E+11	1.95609E+11	2.34819E+11	3.12464E+11	3.57852E+11	3.11204E+11	2.89819E+11	3.02849E+11	2.99559E+11	3.10809E+11
Channel Islands	exports
Chile	exports	488000000	506000000	530000000	522000000	592000000	637000000	817000000	847000000	858000000	1075000000	1249000000	997000000	855000000	1231000000	2481000000	1552000000	2083000000	2190000000	2478000000	3894000000	4705000000	3837000000	3706000000	3831000000	3651000000	3804000000	4191000000	5224000000	7052000000	8078000000	8373000000	8942000000	10007000000	9199000000	11604000000	16024000000	16627000000	17870000000	16323000000	17162000000	19210000000	18272000000	18180000000	21664000000	32520000000	41267000000	58680000000	67972000000	64510000000	55463000000	71109000000	81438000000	77791000000	76770000000	75065000000	62035000000	60733000000	69230000000	75482000000
China	exports	2571000000	1942000000	1913000000	2031000000	2250000000	2563000000	2681000000	2388000000	2340000000	2429000000	2307000000	2783000000	3693000000	5876000000	7108000000	7689000000	6943000000	7520000000	9955000000	13614000000	18099000000	22007000000	22321000000	22226000000	26139000000	27350000000	30942000000	39437000000	47516000000	52538000000	62091000000	71910000000	84940000000	91744000000	1.21006E+11	1.4878E+11	1.51048E+11	1.82792E+11	1.83712E+11	1.94931E+11	2.49203E+11	2.66098E+11	3.25596E+11	4.38228E+11	5.93326E+11	7.61953E+11	9.68978E+11	1.22046E+12	1.43069E+12	1.20161E+12	1.57775E+12	1.89838E+12	2.04871E+12	2.20901E+12	2.34229E+12	2.27347E+12	2.09763E+12	2.26335E+12	2.48705E+12
Cote d'Ivoire	exports	157000000	193000000	193000000	230000000	296000000	277000000	311000000	325000000	425000000	452000000	469000000	457000000	553000000	857000000	1213000000	1181000000	1632000000	2157000000	2322000000	2514000000	3134000000	2533000000	2350000000	2090000000	2706000000	3197000000	3354000000	3109000000	2769000000	2807000000	3072000000	2686000000	2875000000	2519000000	2742000000	3806000000	4446000000	4451000000	4606000000	4661000000	3888000000	3946000000	5275000000	5788000000	6919000000	7697000000	8477000000	8669000000	10390000000	11327000000	11410000000	12635000000	12124000000	12049000000	12951000000	11730000000	10876000000	11853000000	11263000000
Cameroon	exports	97000000	98000000	103000000	135000000	125000000	144000000	131000000	121000000	189000000	225000000	226000000	207000000	221000000	353000000	478000000	447000000	511000000	704000000	802000000	1132000000	1384000000	1105000000	1064000000	976000000	886000000	722000000	782000000	806000000	927000000	1682000000	2002000000	1834000000	1840000000	1883000000	1486000000	1651000000	1768000000	1860000000	1671000000	1601000000	1833000000	1749000000	1802000000	2283000000	2477000000	2861000000	3576000000	4230000000	5241000000	3552000000	3878000000	4517000000	4274000000	4515000000	5145000000	4058000000	3305000000	3233000000	3817000000
